käsi	kääs
olema	onn
oma	oma
häda	äda
kah	kahh
mina	mina
olema	ol'in
kolm	kolm
aasta	`aastad
Puurmani	`Puurmanis
veski+poiss	`ves'ki+boiss
või	või
nii	nii
olema	ol'in
enne	`enne
ilma+meri	ilma+meres
kah	kahh
mõni	mõn'i
paar+kümmend	paar+gümmend
aasta	`aastad
üle	üle
kaks+kümmend	kahe+`gümne
aasta	`aasta
minema	läksin
kivi	kivit
lõhkuma	`lõhkuma
ja	ja
lõhkuma	`lõhkusin
kivi	kiva
nii+kaua	nii+gauwa
kui	ku
käsi	käe
ära	ära
laskma	`las'sin
käsi	käs'i
ära	ära
nõnda	nõnna
ja	ja
siis	siss
olema	õl'in
kirve+mees	`kerve+miis
ja	ja
siis	siss
ee	ee
olema	pole
nüüd	nüid
nimi	nime
meel	*meeles
kes	kiss
see	selle
Peetri	`Peetri
kirik	kerikku
ehitama	ehittas
või	võe
see	sii
tegema	tegi
seal	säl
tamm	`tammi
ja	ja
olema	ol'ime
plotnik	`plot'nikkud
seal	sääl
tema	tema
juures	juures
kuus	kuus
mees	miist
no	no
aga	aga
seal	säl
pärast	pärast
et	et
seal	säl
nii+sama	ni+sama
poiss	`pois'si
vaja	vaea
ja	ja
mölder	`mölder
ütlema	`ütleb
et	et
kas	kass
mõni	mõn'i
ei	ei
tahtma	taha
mölder	`möldrist
hakkama	akkatta
et	t
tulema	tulgu
mina	minu
juurde	`juure
mina	maa
õppama	`õppan
ja	jaa
andma	annan
palk	`palkka
ja	ja
andma	`an'dis
siis	siss
viis+kümmend	viis+kümmend
kopikas	`kopkat
päev	päävas
ja	ja
siis	ss
olema	ol'in
seal	sääl
kolm	kolm
aasta	`aastad
noh	nohh
aga	aga
nagu	nigu
ikka	kke
vahel	vahel
teadma	tiat
ikkagi	ikkegi
ega	egä
inimene	in'imene
olema	onn
ikka	`ikke
võtma	`võt'sime
vahel	vahel
viin	`viinä
ja	ja
minema	läksime
välja	`väl'lä
kõrts	`kõrtsi
ja	ja
noh	nohh
vat	vat
üks	üks
ostma	ostab
teine	teine
ostma	ostab
ja	ja
nii+kaua	nii+gavva
kui	ku
ikka	kke
purjus	purjuss
ja	ja
tulema	tul'ime
kodu	kodu
ütlema	`tlep
mina	maa
laskma	lahen
teie	teid
minema	minema
mina	ma
ütlema	`tlen
laskma	lase
kui	kui
tahtma	tahad
noh	nohh
mina	mina
olema	ol'in
siis	siss
kolm	kolm
aasta	`aastad
siis	siss
käima	käesin
siin	siin
kodu	kodu
ja	ja
kõnelema	kõnelen
vanem	vanemaile
et	t
rentima	ren'di
mina	mull
ära	ära
veski	`ves'ki
nõnda	nõnna
see	sii
olema	ol'li
jõulud	jõuluss
tulema	tul'in
kodu	kodu
ja	ja
siis	siss
jah	jahh
tegema	tegime
kaup	kauba
ära	ärä
et	t
miks	miks
mina	ma
ei	i
rentima	ren'di
kui	kui
sina	sa
tahtma	tahad
siis	siss
tegema	tegime
kaup	kauba
ja	ja
ütlema	`ütlen
tema	talle
peale	pääle
püha	pühade
üks	üks
paar	paar
kuu	kuud
olema	ol'i
või	või
või	või
või	või
mäletama	mälettä
et	et
mina	mina
minema	lähän
ära	ära
et	et
mina	mina
ei	ei
tahtma	taha
enam	änam
veski+poiss	`ves'ki+boiss
olema	`olla
ja	ja
minema	lähän
ära	ära
ei	ei
laskma	lasnud
enne	`enne
kui	kui
veel	viil
suvi	suvvel
laskma	`las'siss
või	või
kevad	kevade
läbi	läbi
olema	ol'i
nõnda	nõnna
heina+aeg	eina+aeg
olema	ol'li
enne	`enne
jaan	`jaani
siis	siss
ütlema	`ütles
noh	nohh
minema	mine
nüüd	nüid
kui	kui
tahtma	tahad
jah	jahh
no	no
mina	ma
käima	käesin
ikka	`ikke
aasta	`aastas
ka	ka
kord	kõrd
või	või
paar	paar
mõni+kord	mõn'i+gõrd
kuidas	kudas
aeg	`aega
olema	ol'li
kaks	kaks
päev	`päeva
kolm	kolm
olema	ol'in
siis	ss
iga	iga
aasta	`aasta
käima	käesin
ikka	ikke
kas	kass
püha	pühadest
või	või
ja	ja
pärast	pärast
jääma	jäi
isa	isä
muidugi	muedukki
vana	vanast
ja	ja
noh	nohh
poeg	poead
ka	ka
üks	üks
olema	ol'i
rätsep	rätsep
ja	ja
ja	ja
üks	üks
olema	ol'i
nii+sama	ni+sama
muidu	muedu
töö+mees	tüü+miis
ei	eij
olema	olnud
muu	muud
kui	ku
adra+poiss	adra+poiss
ja	ja
siis	ss
üks	üks
olema	ol'i
käima	käis
kool	*kool'is
see	sii
olema	ol'i
linn	linnas
kah	kahh
olema	ol'i
posti+talitus	post'i+tal'littuses
pärast	pärast
ei	ei
teadma	tia
Vene+maa	Vene+`maale
kus	koss
tema	ta
surema	surri
või	või
eks	eks
tema	ta
kõik	kõik
olema	ole
see	se
asi	as'i
olema	onn
see	se
lell	lellad
lell	lell
olema	ol'i
isa	isä
vend	vend
olema	ol'i
seal	sääl
Puppas+vere	Puppas+vere
küla	külas
olema	ol'i
jah	jahh
no	no
miks	miks
ei	ei
see	se
olema	ol'i
kunstnik	`kun'tsnik
jah	jahh
see	sii
surema	surri
Moskva	`Moskva
või	või
kus	kos
tema	ta
surema	surri
see	sell
olema	onn
ka	ka
kaks	kaks
poeg	`poega
olema	ol'i
veel	vel
mina	ma
ei	i
teadma	tia
nüüd	nüid
ei	eij
olema	ole
nägema	nähnud
poeg	`poegasi
mitu	mittu
aasta	`aastad
kes	kellel
tema	tall
olema	ol'i
Kusta	Kusta
ja	ja
Kaarel	`Kaarel
kah	kahh
Kusta	Kusta
Kaarel	`Kaarel
olema	ol'i
jah	jahh
Kaarel	`Kaarel
see	sii
minema	läks
ei	ei
see	seda
ei	ei
teadma+ki	`tiagi
mina	mina
kus	kos
tema	ta
jääma	jäi
see	sii
õppima	`õppis
viina+põletaja	viina+põlettajast
no	no
Kusta	Kusta
jääma	jäi
sinna	`senna
talu	talusse
see	sii
surema	surri
ära	ära
kah	kahh
juba	juba
mitu	mittu
aasta	`aastat
tagasi	tagasi
linn	linnas
linn	linnas
käima	käis
kool	*kool'is
teadma	tia
siis	s
kus	koss
kool	kool'is
või	või
mina	mina
oo	oo
aga	a
meie	meije
noh	nohh
käima	käisime
ikka	ikke
kui	kui
olema	ol'i
miski	midagi
kas	kass
mõni	mõn'i
surema	suri
või	või
sündima	`sün'dis
või	või
muu	muud
läbi+käimine	läbi+`gäimest
miski	midagi
ei	eij
olema	olnud
Kusta	Kusta
olema	ol'i
ikka	kke
veel	veel
pärast	pärast
ja	jaa
nüüd	nüid
küll	küll
ei	ei
käima	käi
läbi	läbi
nõnda	nõnna
nüüd	nüid
minema	läks
mina	minu
vend	venna
tütar	tüttar
olema	onn
seal	sääl
nüüd	nüid
praegu	`praegust
andma	`an'dis
see	sii
naine	naene
see	sellele
ja	ja
see	sii
saama	sai
sinna	senna
mees	mehele
ja	ja
see	sii
pidama	piab
nüüd	nüid
olema	onn
talu	talu
pidama	pidas
aga	aga
nüüd	nüid
minema	läks
talu	talu
talu	talu
minema	läks
nüüd	nüid
kõik	kõik
ju	joo
riik	riigile
võtma	`võet'ti
mina	minu
käest	käst
ka	ka
võtma	`võet'ti
ära	ära
kõik	kõik
loom	loomad
ja	ja
ja	ja
värk	värk
lehm	lehmad
ja	ja
hobune	obesed
ja	ja
riist	riistad
ja	ja
kõik	kõik
kõik	kõik
kraam	kraam
no	no
siis	siss
mina	minule
andma	`an'tti
seal	sääl
üks	üks
tükk	tükk
maa	maad
või	või
nii	nii
olema	onn
üks	üks
rohkem	`rohkem
vaka+maa	vakka+mad
või	võe
vaka+maa	vakka+mad
ei	eij
olema	ole
tema	tedä
no	no
siis	s
sinna	senna
andma	`an'tti
viimati	viimatti
tükk	tükk
juurde	`juure
nii+sugune	nisukkest
ristik+hein	ris'tik+eina
sööt	`süütti
nüüd	nüd
olema	onn
üle	üle
vaka+maa	vakka+ma
no	no
siis	s
lehm	lehmä
saama	saab
pidama	pidädä
ja	ja
siis	siss
saama	saab
lehm	lehmä
pidama	pidädä
ja	ja
siis	siss
see	se
maa	maa
olema	onn
siis	s
saama	saad
siga	sia
ka	ka
söötma	`süütta
kartul	`karttulit
saama	saad
ja	ja
jaa	jaa
ei	eij
olema	ole
maks	`maksu
ka	ka
see	selle
eest	iist
ja	ja
ei	eij
olema	ole
ilma	ilma
olema	onn
see	sii
mina	minul
olema	olnud
käes	käes
ja	ja
seda+viisi	sedä+viisi
muud+kui	mut+ku
elama	elab
jälle	jälle
tasakesi	tasakkeisi
tütar	tüttar
olema	onn
kah	kahh
tütar	tüttar
olema	onn
mees	mehel
juba	juba
ja	ja
tütar	tüttar
olema	onn
siin	siin
laut	laadas
kah	kahh
käima	käib
siia	siijä
töö	`tüüsse
tema	temä
olema	onn
nüüd	nüid
olema	onn
öö+vaht	üü+vaht
ja	ja
andma	annab
päev	`päivi
no	no
mõis	`mõisas
olema	ol'i
üks	üks
Mildon	`Mildon
ütlema	ütteldi
olema	olema
ja	ja
seal	säl
olema	ol'i
veel	vell
kõik	kõik
vanasti	vanasti
aga	aga
aga	aga
viimane	viimäse
aeg	aeg
olema	ol'i
kui	ku
koht	kuhad
ümber	`ümber
minema	läksivad
olema	ol'i
üks	üks
Mildon	`Mildon
siis	siss
seal	säl
need	neid
olema	ol'i
enne	`enne
härra	ärrasid
olema	ol'i
rent	ren'di
mõis	`mõisa
see	sii
Kärkna	`Kärkna
mõis	`mõisa
no	no
tema	tema
jälle	jälle
kroonu	kroonu
pealt	pält
siin	siin
olema	onn
kõige	kõege
halb	alvemad
koht	kuhad
või	või
nii+sugune	niisukkene
mõis	mõis
need	neid
ei	ei
võtma	`võtnuvad
käima	käis
siis	siss
see	si
Kärkna	`Kärkna
mõis	`mõisa
nii	nii
jälle	jälle
mõni	mõn'i
rentima	`ren'ttis
ja	ja
minema	läks
minema	minema
ja	ja
kuidas	kudas
olema	ol'i
no	no
siis	siss
meie	meije
oma	oma
olema	ol'i
kuldi+lõikaja	kul'di+`lõikkaea
meie	meije
talu	talu
pere+mees	pere+miis
ja	ja
siin	siin
olema	ol'li
kala+mees	kala+miis
ja	ja
siis	s
käima	käesivad
ühes	öhes
kalal	kalas
kah	kahh
öhel	öhel
kala	kalal
noot	noodad
olema	ol'id
ja	ja
mina	minu
isa+ki	isälgi
olema	ol'i
mõni	mõn'i
kuus+kümmend	kuus+kümmend
mõrd	`mõrda
olema	ol'li
ja	ja
noot	`noottasid
olema	ol'i
kaks	kaks
tükk	`tükki
siis	s
käima	käesime
õhtu	`õhtalt
kala	kalal
kala	kala
püüdma	`püidmäs
ja	ja
siin	siin
olema	onn
jõgi	jõgi
ka	kaa
all	all
jah	jahh
siin	siin
olema	ol'id
nii+sugune	`nissuksed
loomus	loomussed
jälle	`jälle
kuidas	kudass
olema	onn
ja	ja
siis	s
käima	käesime
iga	egä
kevad	kevadi
ja	ja
sügis	sügise
ja	ja
nüüd	nüid
ütlema	`ütleme
see	selle
aeg	`aaga
hakkama	akkassime
nii	ni
juba	juba
käima	`käima
nõnda	nõnna
kah	kahh
sügis	sügise
ja	ja
kevad	kevadi
käima	käesime
kah	kahh
vahel	vahel
suvi	suvvel
ei	ei
käima	käinud
noh	nohh
saama	sai
ka	ka
ikka	kke
pund	pund
korraga	kõrraga
kumbki	`kumpki
ja	ja
ja	ja
vahel	vahel
rohkem	`rohkem
vahel	vahel
vähem	vähäm
noh	nohh
isa	isä
ja	ja
eks	eks
olema	ol'lid
poiss	poisid
ka	ka
võõras	`võerad
poiss	poisid
ja	ja
üks	üks
sulane	sulane
olema	ol'i
meie	meil
olema	ol'i
olema	olnud
üle	üle
neli+kümmend	nel'lä+gümne
aasta	`aasta
võtma	`võt'tis
naine	naese
siis	s
olema	ol'i
naine	naesega
kah	kahh
seal	säl
meie	mee
olema	ol'ime
siis	siss
väike	`veiksed
veel	viil
no	no
Jüri	Jüri
olema	ol'li
kõige	kõege
vana	vanem
ja	ja
Märt	Märt
ka	kaa
ja	ja
no	no
meie	mee
olema	ol'ime
ikka	ikke
noor	nooremad
siis	s
käima	käis
siia	`siija
noh	nohh
pärast	pärast
ära	ära
minema	lätt
muidu	mudu
kui	ku
meie	mee
mees	mehest
minema	läksime
võtma	`võt'tis
rentima	`ren'ttis
linn	`linna
linn	`linna
jälle	jälle
veski	`ves'ki
kah	kahh
sulane	sulane
sealt	sält
tuule+veski	tuule+`ves'ki
olema	ol'i
üks	üks
Aleksandri	Alek`sandri
uulits	uul'itse
ots	otsas
nüüd	nüüd
olema	onn
lõhkuma	lõhuttud
kõik	kõik
ära	ära
ja	ja
ja	ja
eks	eks
tema	ta
kõik	kõik
olema	ole
see	sii
ilm	ilma
elu	elu
olema	ole
kõik	kõik
kuidas	kuda
tema	ta
olema	onn
ei	ei
no	no
ikka	ikke
teine	teine
teine	teine
talu	talu
olema	ol'i
või	või
see	se
maja	maead
olema	ol'id
ikka	ikke
nii	nii
kaks	kaks
talu	talu
olema	ol'i
kõrvuti	kõrvutti
jah	jahh
no	no
isa	isä
aeg	aal
kui	kui
koht	koht
kui	kui
krunt	krun'did
ajama	`aetti
vaatama	`vaatta
enne	`enne
olema	ol'i
nii+sama	nii+sama
talu	talu
olema	ol'li
tegema	tegi
mõis	`mõisa
päev	`päivi
nagu	nigu
nüüd	nüid
kantnik	`kan'tnigud
olema	onn
nõnda+moodi	nõnna+`muudi
olema	ol'i
inimene	in'ime
ehk	ehk
kaks	kaks
seal	säl
oma	oma
tükk	tükkid
maa	maad
olema	ol'id
ja	ja
tegema	tegi
maa	maad
seal	säll
ja	ja
hein	`eina
ja	ja
kõik	kõik
pidama	pidid
täitma	`täitmä
aga	aga
kui	ku
ka	ka
andma	`an'tti
koht	kuhad
noh	nohh
siis	s
olema	ol'i
üks	üks
kaks	kaks
või	või
kolm	kolm
aasta	`aastad
siis	siss
ehitama	ehittas
koht	kuha
sinna	`senna
välja	`väl'lä
no	no
siit	siit
kari	karjaga
käima	`käija
sinna	senna
kus	kos
see	si
kuusik	kuus'ik
olema	onn
hulka	`ulkka
maa	maad
kus	kos
see	si
kari	karja
tee	tii
ja	ja
tegema	tegi
sinna	`senna
noh	nohh
pärast	pärast
ehitama	ehittas
veski	`ves'ki
kah	kahh
ütlema	`ütleme
nõnda	nõnna
üle	üle
kaheksa+kümmend+üks	kahessa+gümmend+üks
või	või
kaks	kaks
aasta	`aastad
olema	onn
kui	ku
veski	`ves'ki
tegema	tegi
noh	nohh
kui	kui
seadma	säädettud
iga+üks	iga+üks
jahvatama	jahvattab
aga	aga
tema	taa
ikka	ikke
nõnda	nõnna
hea	ia
ei	eij
olema	ole
ja	ja
vanasti	vanast
olema	ol'l
ikka	ikke
hea	ia
jahvatama	jahvattatta
kuiv	kuiv
vili	vil'i
olema	ol'i
ja	ja
kõik	kõik
olema	ol'li
teine	teised
olek	olekkud
eks	eks
tema	ta
kõik	kõik
olema	ole
iga+üks	igä+öhel
oma	oma
häda	ädad
tema	taa
olema	ol'i
kah	kahh
õppima	`õppinud
poiss	poiss
ka	kaa
olema	ol'i
tema	tall
võima	võis
pidama	pidas
poiss	`poissi
kah	kahh
isa	isa
kui	kui
meie	mee
noor	*noored
olema	ol'ime
ja	ja
isa	isäl
olema	ol'i
üks	üks
kõige	kõege
vana	vanem
vend	vend
jälle	jälle
see	se
olema	ol'i
isa	isä
juures	juures
olema	olnd
surm	surmani
mina	mina
veel	viil
matma	`mat'sin
tema	ta
isa	isä
olema	ol'i
surema	`surnud
ja	ja
vend	vend
või	või
vana+mees	vana+miis
olema	ol'i
ka	kaa
ikka	ikke
mina	minu
juures	juures
egas	egas
siis	s
mina	minu
juures	juures
miski	midagi
tegema	tehnud
kui	ku
sööma	sõi
ja	ja
sööma	sõi
ja	ja
olema	ol'i
kah	kahh
naine	naeste
naiste+poiss	naeste+boiss
tuli	tuld
tegema	tegi
ja	ja
ja	ja
nii+sama	nii+sama
vahel	vahel
veski	`ves'kis
käima	käis
ja	ja
olema	ol'i
kaheksa+kümmend+kuus	kahessa+gümmend+kuus
aasta	`aastad
vana	vana
kui	ku
ära	ära
surema	surri
see	sii
surema	surri
ka	ka
äkki	`äkki
kohe	kohe
kukkuma	`kukkus
tuba	`tuppa
olema	ol'i
maha	maha
kukkuma	`kukkunu
ja	ja
noh	nohh
mina	mull
olema	ol'i
väike	veikke
tütar	tüttar
või	võe
tüdruk	tüdruk
või	võe
tütar	tüttar
olema	ol'i
väike	`veikkene
meie	mee
olema	ol'ime
muidugi	muedugi
oder	odra
väli	väl'läl
ja	ja
jooksma	jooseb
sinna	`senna
et	et
ei	ei
teadma	tia
mis	miss
lell	lellal
viga	viga
olema	onn
et	et
uks	uks
olema	onn
kinni	`kin'ni
panema	`panttud
ja	ja
olema	onn
maa	maas
ja	ja
oigama	`oigab
seal	sääl
noh	nohh
tulema	tul'lime
siis	siss
kodu	kodu
ema	ema
ja	ja
mina	mina
ja	ja
ja	ja
Ats	Aat's
ka	kaa
Ats	Aat's
võtma	`võt'tis
süli	`sülle
tooma	tõi
tema	ta
sisse	`sisse
noor	nuur
mees	miis
olema	ol'i
Ats	Aat's
ja	ja
siis	siss
ütlema	`ütles
et	et
see	se
olema	onn
mina	mull
surm	surma
haav	aav
ja	ja
surema	surri
pika+peale	pikka+bäle
ära	ära
kah	kahh
õhtu	`õhta
poole	`puule
või	võe
eks	eks
kõik	kõik
trehvama	`trehvab
ilm	ilmas
ja	ja
kuidas	kudas
tema	ta
olema	onn
kala	kalal
õhtu	`õhta
või	või
öösel	`üüsi
või	või
nõnda	nõnna
ja	ja
vahel	vahel
ikka	ikke
minema	läksime
nõnda	nõnna
et	t
kell	kella
kolm	kolme
aeg	aeg
ja	ja
kuidas	kudas
noh	nohh
saama	sai
ka	kaa
ikka	ikke
mõni	mõned
kümme	`kümne
naelane	naelased
ja	ja
üle	üle
kümme	`kümne
naelane	naelased
ja	ja
väga	väga
suur	`suuri
just	just
ei	ei
saama	saand
aga	aga
kümme	`kümne
naelane	naelasi
saama	sai
küll	küll
kevad	kevadi
luht	luha
noot	noodaga
jah	jahh
noh	nohh
see	se
olema	onn
nii+sugune	nisukkene
kitsas	`kitsam
ja	ja
jah	jahh
ja	ja
jälle	jälle
ei	eij
olema	ole
nii	nii
sügav	sügav
olema	onn
kah	kahh
pikk	pikk
olema	ol'i
mõni	mõn'i
no	no
üle	üle
kaheksa+kümmend	kahessa+`gümne
süld	sülla
olema	ol'i
haru	arud
kaks	kaks
haru	aru
olema	onn
siis	s
laskma	lahed
siit	siit
sisse	sisse
siis	s
käänama	käänäd
ümber	`ümber
ja	ja
siis	siss
aga	aga
jõe+noot	jõe+noot
olema	onn
väike	`veiksem
ja	ja
sügav	sügavam
kõrge	`kõrge
eks	eks
jälle	jälle
kõik	kõik
olema	ole
saama	saand
ära	ära
tegema	teha
mõrd	mõrrad
olema	ol'id
kevad	kevadi
sees	sehes
talv	talvel
olema	ol'id
ka	kaa
mõrd	mõrrad
sees	sehes
talv	talvel
tegema	`tehti
aed	aed
jälle	`jälle
nii+sugune	nisukkene
sisse	`sisse
ja	ja
panema	`pan'tti
ka	kaa
sisse	`sisse
luts	`lutsu
püüdma	`püidä
noh	nohh
mõni	mõn'i
hommik	ommokku
saama	sai
ikka	ikke
kah	kahh
kümme	kümme
nael	`naela
viis+teist	viis+teis+kümme
kaks+kümmend	kaks+kümmend
kaks	kaks
kord	`kõrda
olema	ol'id
mõrd	mõrrad
täis	täis
kohe	kuhe
saama	sai
mitu	mittu
puud	`puutta
korraga	kõrraga
jah	jahh
kude+aeg	kude+aeg
trehvama	`trehvab
see	se
olema	onn
harva	`arva
aga	aga
muidu	muedu
ikka	ikka
saama	sai
ikka	ikka
kaks	kaks
ja	ja
kolm	kolm
tükk	`tükki
ja	ja
kümme	kümme
tükk	`tükki
mõni	mõn'i
hommik	ommokku
kuidas	kudas
tema	ta
trehvama	trehvass
ikka	ikke
supp	supp
lõuna	`lõunel
saama	sai
alati	alat'ti
kevad	kevadi
või	või
kui	kui
sisse	`sisse
saama	sai
panema	`panttud
siis	siss
saama	sai
rohkem	`rohkem
aga	aga
pika+peale	pikka+pääle
siis	s
hakkama	akkas
juba	juba
mõni	mõned
purikas	purikkad
tulema	tulema
ja	ja
säinas	`säinad
ja	ja
ikka	ikke
vähe	vähä
iga	igä
hommik	ommokku
jah	jahh
eks	eks
tema	ta
kõik	kõik
olema	ole
kuidas	kuda
tema	ta
olema	onn
jah	jahh
no	no
õhtu	`õhta
ikka	ikke
minema	läksime
alati	alat'ti
tuli	tulega
meie	meije
ei	i
käima	käenud
mina	mina
ei	ei
käima	käind
tuli	tulega
palju	pal'lu
kord	`kõrda
neli	nel'i
viis	viis
kevad	kevadi
olema	oled
ära	ära
kaugemal	`kaugemal
ja	ja
mina	maa
olema	ol'in
ilma+meri	ilma+meres
või	või
väljas	väl'läs
enne	`enne
kui	kui
saama	sain
lugema	lugenud
minema	läksin
linn	`linna
lihunik	lihunikku
juurde	`juure
seal	sääl
ei	ei
passima	`pas'sind
olema	ol'in
üks	üks
aasta	`aasta
või	või
rohkem	`rohkem
siis	siss
minema	läksin
Panderler	Panderleri
juurde	`juure
tisler	tislerist
õppima	`õppima
ka	kaa
jälle	jälle
trehvama	trehvassin
kapp	kappi
töö	tüü
peale	pääle
või	või
kapp	`kappisid
tegema	tegema
jälle	`jälle
lööma	lõin
käsi	`kääga
seal	sääl
see	se
meister	`meister
ütlema	`ütles
et	et
sina	sull
pidama	piad
tegema	tegema
ühte+puhku	`ühte+`puhku
ega	ega
sina	sa
muu	muud
töö	tüüd
ei	ei
tegema	tii
no	nuu
kui	ku
ise	isi
õppima	õppid
saama	sain
sealt	sält
lahti	`lahti
siis	s
minema	läksin
sepp	seppa
juurde	`juure
sepp	seppa
juures	juures
kah	kahh
olema	ol'in
sepp	seppa
juures	juures
ka	ka
üks	üks
aasta	`aasta
või	võe
või	või
rohkem	`rohkem
tundma	`tun'dsin
et	et
suvi	suvvel
olema	ol'i
seal	säl
väga	väga
soe	soe
taguma	taguda
ja	ja
ütlema	`üt'si
kurat	kurat
hakkama	`akkan
mina	mina
nii	nii
tapma	`tapma
lööma	lõin
käsi	`kääga
kohe	kohe
ja	ja
tulema	`tul'lin
ära	ära
eks	eks
kõik	`kõikki
juhtuma	`juhtu
ju	ju
ja	ja
viimati	viimätti
saama	sain
üks	öhe
mees	mestega
kokku	`kokku
üks	öhe
koht	kuha
kolm	kolme
mees	mehega
tulema	`tul'lin
sealt	sält
ära	ära
ja	ja
tulema	tule
töö	`tüüsse
kui	ku
olema	oled
prii	prii
no	no
mina	ma
nn	nn
mina	mina
võima	võin
minema	minnä
aga	aga
teie	te
vahest	vahest
petma	pettätte
mina	minu
ei	ei
kui	kui
olema	onn
raha	raha
ostma	ostame
riist	riistad
kohe	kohe
ja	ja
mina	ma
ütlema	`üt'sin
raha	raha
küll	küll
olema	onn
ikka	ikke
paar+kümmend	paar+gümmend
rubla	rubla
olema	ol'i
raha	raha
või	või
rohkem	`rohkem
see	sell
kord	kõrral
ja	ja
ostma	`os'tsime
riist	riistad
minema	läksime
ära	ära
Alats+kivi	Alats+kivi
mõis	`mõisa
seal	sääl
olema	ol'in
kolm	kolm
aasta	`aastad
lõhkuma	`lõhkusime
seal	sääl
teenima	`teenisime
hea	iad
raha	raha
jah	jahh
kivi	kiva
lõhkuma	`lõhkusime
laskma	`las'ti
mõis	`mõisa
väli	väl'läd
kõik	kõik
puhas	`puhtast
tegema	tiha
ei	eij
olema	olnd
üks	üks
linn	linnast
olema	ol'i
ja	ja
üks	ks
Kampa	Kamppa
nimeline	nimelene
ja	ja
üks	üks
mina	minul
meel+ki	*meleski
need	neid
nimi	nimesid
enam	änam
minema	lähäb
meel	meelest
ära	ära
vana	vana
juba	juba
ei	ei
mäletama	mäletta
enam	änam
kaua	kavva
ei	ei
käima	käi
läbi	läbi
minema	läb
ära	ära
meel	meelest
ah	ahh
kivi+lõhkumine	kivi+`lõhkumene
noh	nohh
nii+kaua	nii+gavva
kui	ku
käsi	kää
ära	ärä
laskma	`las'sin
siis	siss
olema	ol'i
läbi	läbi
noh	nohh
eks	eks
oma	oma
süü	süid
ikka	`ikke
väga	väga
hooletu	oolettu
ja	ja
olema	ol'i
ju	ju
ikka	kke
kõva	kõvem
rohi	rohi
ja	ja
ei	ei
kannatama	kannattanu
nõnda+viisi	nõnna+visi
laadimine	`laadimest
ei	ei
teadma	`tiadnud
ikka	ikke
ja	ja
jah	jahh
lööma	lõi
käe+luu	kää+luu
siit	siit
katki	`kat'ki
ja	ja
ja	ja
sõrm	sõrmed
ära	ära
aasta	`aasta
otsa	`otsa
olema	ol'in
kliinik	kliinikkus
jaani+päev	jaani+bäävas
minema	läksin
siis	s
peale	`pääle
jõulud	`jõulu
ikka	kke
tulema	tul'in
ära	ära
aga	a
kui	ku
käsi	kää
ära	ära
laskma	`las'sin
olema	ol'in
üle	üle
kaks+kümmend	kahe+`gümne
aasta	`aasta
või	või
kaks+kümmend+üks	kaks+kümmend+üks
või	või
kaks	kaks
aasta	`aastad
noh	nohh
vat	vat
lõhkuma	`lõhkusin
pärast	pärast
siin	sin
iga	igas
talu	talus
või	või
nõnda	nõnna
aga	a
no	noo
siis	siss
olema	ol'i
odav	odav
aga	aga
kui	ku
meie	me
sinna	`senna
minema	läksime
olema	ol'i
viis	viis'
kopikas	`kopkad
too	tol'l
saama	saime
ja	ja
söök	süük
odav	odavam
andma	`an'tti
piim	`piima
liha	liha
ja	ja
heeringas	eeringad
ja	ja
kõik	kõik
odav	odavam
kah	kahh
olema	ol'i
seal	sääl
mõis	`mõisas
no	no
isa	isä
juures	juures
olema	ol'in
nii+sama	ni+sama
linn	linnas
olema	ol'in
õe+mees	`õe+me
juures	juures
ja	ja
pärast	pärast
siis	siss
kui	kui
puu+töö	puu+tüüd
tegema	tegin
veski	`ves'kist
õppima	`õppisin
siis	siss
tulema	tul'lin
veski	`ves'ki
peale	`pääle
rentima	`ren'ttisin
isa	isä
käest	käst
veski	`ves'ki
olema	ol'in
veski	`ves'ki
peal	päl
ja	ja
pärast	pärast
isa	isä
jääma	jäi
vana	vanast
ja	ja
ütlema	`ütles
et	et
rendi+koht	ren'di+koht
isa	isä
kukkuma	`kukkus
ka	ka
sisse	`sis'se
võlg	võlaga
kirjutama	kirjuttas
alla	`alla
tuhat	tuhande
rubla	rublale
no	no
Klomp	Klomp
müüma	`müidi
seal	säl
talu	talu
ära	ära
ja	ja
langema	`langes
ikka	ikke
selg	`selgä
ei	eij
olema	olnd
miski	midagi
noh	nohh
mina	mina
olema	ol'lin
veski	`ves'ki
peal	päl
ja	ja
kes	kis
see	si
talu	talu
ja	ja
ise	isi
olema	ol'i
vana	vana
ütlema	`ütles
et	et
rentima	ren'di
talu	talu
kah	kahh
noh	nohh
rentima	`ren'ttis
kah	kahh
ja	ja
siis	ss
pärast	pärast
tegema	tegi
sala	sala
testament	tõstamen'di
siis	siss
saama	sai
veel	viil
talu	talu
kah	kahh
pärast	pärast
mina	minule
käima	käesime
veel	viil
kohus	kohot
kolm+teist	kolm+dõist+kümme
aasta	`aastad
kah	kahh
koht	kuhaga
kaks	kaks
õde	õde
vend	vennad
ja	ja
üks	üks
õde	õde
ei	ei
käima	käenud
kolm	kolm
vend	`venda
ei	ei
käima	käenud
jah	jahh
aga	a
isa	isä
või	või
ema	ema
ka	kaa
olema	ol'li
seitsmekesi	`seitsmekkeisi
olema	ol'lime
tegema	tegi
teine	tõise
testament	tõstamen'di
no	noo
raha	raha
ikka	ikke
olema	onn
palju	pal'lu
perse	`perse
minema	lähnd
ikka	ikke
ilma+asjata	`ilm+asjatta
Tallinn	Talina
minema	läks
