mis+sugune	miss+`muod'i
nüüd	nüid
jah	jahh
jaa	jaa
ja	ja
olema+ki	ol'igi
seal	sial
siis	siis
eks	eks
see	se
esimene	es'imine
küünar	küinar
olema	old
ikke	ikke
visa	visa
minema	menema
ju	juo
need	nied
ots	otsad
ju	juo
lagunema	`laugnesid
ära	ää
vahest	`vaest
lööma	lõid
lemmele	lemmele
teine	teesed
kui	kui
ju	juo
see	sie
saama	sai
alla	`alla
sinna	sinna
pakk	pakku
peale	`piale
kord	kord
ja	ja
ümber	`ümber
no	no
siis	siis
tema	tema
minema	läks
kohe	kohe
siis	siis
minema	läks
lõbusasti	lõbusast
jah	jahh
saama	sai
see	seda
serv	`serva
tõstma	`tõsta
jälle	`jälle
natukene	nattukkene
sealt	sialt
peerg	`piergude
pealt	pialt
ja	ja
siis	siis
vahest	vaest
kui	kui
olema	ol'i
linane	linane
kangas	ka~ngas
eks	eks
need	neid
üle+annetu	üle+annettuid
olema	old
küll	küll
kangas	`kangaid
vahest	vaest
saama	sai
veel	viel
rõõsk	rõõsa
piim	piimaga
natukene	nattukkene
presleva	`pres'leva
nij	nij
et	et
see	se
rõõsk+piim	rõesk+piim
tõmbama	tõmmas
kange	`kangest
siis	siss
tõmbama	tõmmas
kange	`kangemalle
jah	jaahh
see	sie
olema	ol'i
üks	üks
hull	ull
asi	as'i
kui	kui
see	sie
serv	serv
hakkama	`akkas
alla	`alla
minema	menema
pidama	pid'i
hool	uol
alati	alatte
olema	olema
kui	kuij
olema	ol'i
hulga	ulga
kangas	ka~ngast
või	või
lõng	`lõngu
peal	pial
noo	noo
jah	jahh
eks	eks
siis	siis
jälle	jälle
panema	`pandud
jätk	`jätku
otsa	`otsa
ja	ja
sõlm	sõl'm
jälle	`jälle
uuesti	uuwesti
niis	`niide
ja	ja
jälle	`jälle
pii	pii
vahele	vahele
ikke	`ikke
sinna+samasse	`sinna+sammasse
kus	kus
tema	ta
enne	`enne
olema	ol'i
noh	nohh
jah	jahh
vahest	vahest
ikke	ikke
saama	sai
määrima	`määrida
libe	libedamast
jah	jahh
tõmbama	tõmmas
jah	jahh
see	sie
tõmbama	tõmmab
kange	`kangest
jaa	jaa
kõva	kõvemast
jah	jahh
pliks	pliks
plaks	plaks
ühte+lugu	ühte+lugu
teine	teene
teine	teene
talla+laud	talla+laud
üles	ülesse
teine	teene
alla	`alla
jah	jahh
kui	kuij
olema	on
ikke	`ikke
hea	ia
kangas	ka~ngas
siin	siin
kümme	`kümme
küünar	küinart
saama	sai
kuduma	kududa
päev	`päävas
ära	ää
jah	jaahh
jah	jaahh
kümme	`kümme
küünar	küinart
jah	jahh
eks	eks
see	sellega
olema	old
jälle	jälle
tegemine	tegemine
hull	ullemb
ikke	ikke
kui	ku
alutamine	aluttamisega
jah	jaahh
siis	siis
panema	`pan'di
puu	puu
sisse	`sisse
ja	ja
ja	ja
nöör	`nüeoridega
nöör	`nüeorid
ümber	`ümber
see	selle
pakk	pakku
siis	siis
sealt	sialt
nöör	`nüeoridest
andma	`an'dis
järele	järele
nii+kaua	nii+gauwa
vastu	vasta
niis	`niis'i
kohe	kohe
tulema	tul'i
see	sie
umbne	`umne
ots	ots
mis	miss
sinna	senna
varb	`varva
sisse	`sisse
saama	sai
panema	`panna
ja	ja
noh	nohh
kangas	`kanga
lõpetamine	lõppettemine
jah	jahh
saama	soab
kangas	ka~ngast
lõpetama	lõppettama
hakkama	akkatta
puu	`puusse
panema	`panna
ja	ja
siis	siis
saama	sai
nii+kaua	nii+gauwa
lõpetama	lõppettada
kui	kuij
olema	ol'i
tema	tema
otsas	otsas
siis	siis
saama	sai
maha	maha
lõikama	lõegatta
siis	siis
olema	ol'i
nii+kaua	nii+gauwa
andma	`an'dis
veel	viel
ikke	ikke
sealt	sialt
see	seda
surnukas	surnukkad
sinna	sinna
pistma	`pista
sinna	sinna
vahe+peale	vahe+biale
ja	ja
kerkima	`kerkkis
enam	enamb
ei	ei
kerkima	`kerkkind
siis	siis
olema	onn
eks	eks
taa	taa
vahest	vaest
alt	alt
jääma	jääb
tiba	tibasse
küll	küll
ei	ei
saama	soand
nõnda	nõnna
hästi	`iaste
enam	enamb
ega	ega
see	see
lõpetis	lõppettise
ots	ots
olema	onn
alati	alatte
vilets	viletsamb
kui	kui
alutis	aluttis
vahest	vahest
kohe	kohe
ei	eij
olema	old
aeg	`aega
palistama	pal'istada
aga	aga
siis	siis
nõel	nõelaga
saama	sai
üle	üle
äär	jääre
viskama	visatta
et	et
ei	ei
arunema	arune
jah	jaahh
olema	onn
kaks	kahe
niis	niijega
kaks	kahe
niis	niijega
jah	jahh
eks	eks
linane	linane
olema+ki	`oltki
see	see
särgi+kangas	sär'gi+ka~ngas
jah	jahh
linane	linasest
saama	sai
veel	vel
takune	takkust
saama	sai
otsa	`otsa
vahest	vahest
ajama	`aada
et	et
jah	jaahh
labane	labane
olema	onn
särgi+kangas	sär'gi+ga~ngas
sest	sest
saama	sai
särk	`sär'kki
tegema	teha
ja	ja
alus+püksid	alus+püksa
mees	miestele
ka	kua
ja	ja
aga	aga
siis	siss
õõ	õõ
käte+rätik	kätte+rät'tikkud
olema	ol'id
see	sie
toimne	`toimne
teine	teene
triip	triip
olema	ol'i
teisi+pidi	teisi+pid'i
teine	teine
olema	ol'i
tallama	tallattud
pikiti	pikkit'ti
teine	teene
jälle	`jälle
vasak	vasakkutte
käsi	`kätte
põigiti	põigitti
siis	siis
jääma	jäi
piki+triibuline	pikki+triibuline
jah	jaahh
aga	aga
siis	siss
see	sie
kilgi+silmiline	kil'gi+sil'miline
see	sie
olema	ol'i
siis	siss
nõnda	nõnna
ühe+korra	ühe+korra
panema	`pandud
kuidas	kuda
kord	`kordasi
panema	paned
siis	siis
jääma	jääb
natukene	nattukkene
jälle	jälle
kitsas	`kitsamad
need	nied
triip	triibud
käte+rätik	kätte+rät'tikkud
jah	jaahh
noo	noo
jah	jahh
murreline	murrelised
olema	onn
ka	kua
käte+rätik	kätte+rät'tikkuid
jah	jahh
mina	maa
ütlema	`ütlen
et	et
kas	kass
kolm	kolm
kolm	kolme
kord	korra
tagant	tagant
neli	nel'i
niis	niit
olema	onn
ja	ja
neli	nel'i
kord	`korda
panema	paned
üksi+pidi	üksi+pid'i
see	seda
niis	`niide
ja	ja
siis	siis
teisi+pidi	teisi+pid'i
jälle	jälle
neli	nel'i
kord	`korda
siis	siis
jääma	jääb
triibuline	triibuline
see	sie
tulema	tuleb
siis	siss
kuduma	kududa
ikke	ikke
üksi+pidi	üksi+bid'i
ühte+moodi	ühe+muod'i
aga	aga
no	no
kilgi+silmiline	kil'gi+sil'miline
see	sie
tulema	tuleb
teisi+pidi	teisi+pid'i
tagasi	tagasi
jälle	jälle
need	nenne
talla+laud	talla+`laudadega
või	või
kuidas	kuda
suks	suksed
ütlema	`üittasse
vana	vanal
põlv	põlvel
ikka	ikki
et	et
siis	siss
siis	siis
tema	ta
jääma	jäi
kilgi+silmiline	kil'gi+sil'miline
see	se
väike	veikked
silm	silmad
sisse	`sisse
noo	noo
jah	jahh
kui	kui
enam	enamb
lõpetamine	lõppettamisel
hästi	iast
kangas	ka~ngas
ei	ei
kerkima	kerkkind
siis	siis
jääma	jäi
tiba	tibasse
vaatama	voatta
vähe	vähä
see	seda
auk	aukku
kus	kuss
nüüd	nüid
see	seda
surnukas	surnukkad
saama	sai
viskama	visatta
jääma	jäi
lõng	`lõngu
alla	`alla
siis	siis
jääma+ki	jäigi
tiba	tibasse
aga	aga
kui	kui
hästi	iast
kerkima	`kerkkib
ühe+tasa	ühe+tasa
suusk	`suuskadega
siis	siis
tema	tema
tiba	tibasse
ei	ei
jääma	jää
aga	aga
kui	kui
juba	juo
see	sie
auk	auk
jääma	jäb
väike	veikkest
et	et
enam	enamb
hästi	iast
ei	ei
kerkima	`kerkki
siis	siis
palju	paelu
see	sie
viimane	viimane
ots	ots
see	sie
lõpu+ots	lõppu+ots
ikke	ikke
jääma	jäi
ühte+lugu	ühte+lugu
tiba	tibasse
noo	noo
eks	eks
siis	siis
pidama	pidand
uuesti	uuwest
tagasi	tagasi
panema	panema
ja	ja
jätk	`jätku
otsa	`otsa
jälle	jälle
siis	siis
saama	sai
jälle	jälle
jätk	`jätku
otsa	`otsa
panema	panna
et	et
tema	ta
tagasi	tagasi
saama	sai
noo	noo
jah	jahh
eks	eks
muidu	muidu
jääma	jääb
hõre	õre
kude	koe
kui	kui
ikke	ikke
lõng	lõng
katki	`kaik'ki
minema	läks
ega	ega
pikalt	pikkalt
maksma	makst
enam	enamb
kuduma	kududa
eks	eks
tema	ta
olema	ole
need	nende
kangas	ka~ngastega
küll	küll
häda	ädas
olema	old
vaatama	vatta
villane	villane
kangas	ka~ngas
olema	onn
veel	viel
kui	kui
minema	lääb
lõng	lõng
katki	`kaik'ki
siis	siis
siis	siis
ütlema	`ütle
kohe	kohe
vahest	vaest
olema	onn
ka	koa
lõng	`lõngade
süü	süi
ja	ja
ühe+korra	ühe+gorra
villa+veski	villa`ves'kil
käima	käis
nägema	näd
raibe	`raipped
lõng	lõ~ngad
olema	ol'id
eks	ks
mina	maa
ütlema	`ütlesin
kohe	kohe
saama	sain
üks	ühe
küünar	`küindra
kuduma	kuottud
no	no
sinna	`sinna
pakk	pakku
ligemale	ligemalle
siis	s
mõtlema	`mõtlesin
kohe	ko
et	et
raibe	raibe
lõikama	`leikka
kude	koe
maha	maha
ja	ja
saama	soa
keegi	kedagi
aga	aga
vaat	voat
siis	siis
hakkama	`akkas
kestma	`kestama
laud+ots	laud+otsad
siis	siis
minema	läksivad
ju	juo
saama	said
kuduma	`kuottud
siis	siss
olema	ol'i
hea	ia
kangas	ka~ngas
see	se
kangas	ka~ngas
mina	mull
varastama	varastet'ti
ära	ää
kolm+kümmend	kolmgend
küünar	küinart
jah	jaahh
jah	jahh
üks	üks
piikane	`piikkane
olema	onn
üks	üks
lõng	lõng
minema	lääb
pii	pii
vahele	vahele
sinna	sinna
piird	piira
pii	pii
vahele	vahele
aga	aa
kui	ku
olema	onn
kaks	kaks
lõng	`lõnga
siis	siss
siis	siis
olema	onn
toimne	`toimne
labane	labast
ei	ei
tegema	teha
mitte	mitte
aga	aga
toimne	`toimne
tegema	teha
siis	siis
kaks	kaks
lõng	`lõnga
panema	`panna
piird	`piira
piird	piira
vahele	vahele
kolm	`kolme
ei	ei
panema	panna
millalgi	millagi
kuhugile	kuhugille
see	seda
ei	eij
olema	ole
nii	nii
paks	`paksu
ei	ei
tulema	tule
küll	küll
neli	neela
niis	niijega
kes	kess
teadma	tiab
kui	kui
need	nied
mis	miss
seitse	seetse
ja	ja
kaheksa	kaheksa
niis	niit
mis	miss
seal	sial
sees	sies
olema	onn
ega	ega
mina	maa
need	neid
ei	eij
olema	ole
kuduma	kudund
mina	maa
need	neid
ei	ei
teadma	tia
jah	jaahh
ema	emal
olema	ol'id
ka	kua
nii+sugune	nisukkesed
just	jus't
nii+samuti	nii+samatte
eks	eks
mina	ma
ema	emast
õppima+ki	`õppintki
eks	eks
mina	ma
olema	ole
kuulma	kuuld
ei	ei
mina	maa
ei	eij
olema	ole
nägema	näind
küll	küll
aga	aga
jah	jaahh
olema	olen
kuulma	kuuld
sein	seina
peal	pial
nii+sugune	nesust
lühikene	lühikkesed
ots	otsad
ütlema	`üeldi
ja	ja
nagu	nagu
olema	onn
vöö	`vüeos'i
kuduma	`kuot'ti
ja	ja
need	nied
olema	ol'id
kõik	kõik
sein	seena
peal	pial
kuduma	`kuottud
või	või
looma	`luodud
see	sie
olema	ol'i
loomine	`luomine
jah	jahh
jah	jaahh
kaks	kaks
pulk	`pulkka
olema	ol'id
kumbki	kummalgi
pool	pol
otsas	otsas
siis	siis
sein	seena
sees	sies
ja	ja
sinna	`sinna
pulk	`pulkka
panema	`pan'di
teine	teene
pulk	pulk
olema	ol'i
ilma	ilma
rist	`ris'tidetta
aga	aga
teine	teesele
saama	said
rist	ris'tid
sisse	`sisse
kus	kuss
estist	`es'tist
alutama	aluttet'ti
kangas	ka~ngas
jah	jahh
ja	ja
teine	teene
olema	ol'i
kaks	kahe
pulk	pulgaga
siis	siss
sealt	sialt
see	sie
väike	vekked
niis	niijed
olema	ol'id
ka	kua
see	sell
vöö	vüeol
kergitama	kergittasid
alt	alt
ja	ja
pealt	pialt
pulk	pulgad
olema	ol'id
ots	otsas
siis	siis
lööma	lõi
see	selle
rist	risti
lahti	`lahti
ja	ja
jälle	`jälle
surnukas	surnukkas
suts	suts
sisse	`sisse
ja	ja
jälle	`jälle
uuesti	uuwest
lööma	lõi
see	sellega
peale	piale
ja	ja
veel	viel
mõõk	mõek
olema	ol'i
kes	kellega
kuduma	`kuot'ti
need	neid
vöö	vüeosi
teie	te
mõõk	mõekka
ehk	ehk
olema	olette
kuulma	kuuld
noo	noo
jah	jahh
ja	ja
siis	siss
jälle	`jälle
uuesti	*uuwest
jälle	`jälle
rist	ris'tid
teine	teene
niis	niis
olema	ol'i
peal	pial
teine	teene
all	all
pulk	pulgad
ots	otsas
siis	siss
see	seda
saama	sai
jah	jahh
jah	jahh
ega	ega
mina	mina
nägema	näe
lugema	lugeda
see	se
olema	on
lõnga+pakk	lõ~nga+bakk
ja	ja
siis	siss
riide+pakk	`riide+pakk
olema	onn
all	all
jälle	`jälle
jah	jaahh
ja	ja
niis	niijed
olema	onn
siis	siss
seal	sial
vahe+peal	vehe+bial
ja	ja
piird	piird
olema	onn
ka	koa
seal	sial
siis	siss
jah	jahh
eks	eks
tegema	tend
ise	ise
ikke	`ikke
vist	vist
ehk	ehk
olema	olette
ka	koa
kangas	kannast
kuduma	kudund
jah	jahh
jah	jaahh
no	no
kanga+pakk	`kanga+pakk
õõ	õõ
see	sie
pink	pink
olema	onn
see	sie
olema	onn
seal	sial
see	sie
olema	onn
seal	sial
rind+puu	rint+puu
vastas	vastas
seal	sial
kus	kuss
kangas	kannas
jooksma	juookseb
jah	jahh
rind+puu	rint+puu
ütlema	`üittasse
jah	jahh
ei	ei
mina	mina
need	neid
mäletama	mäletta
niis	niijed
seisma	seesavad
need	nied
mis	miss
kangas+jalad	kannas+jalal
pikk	pikkad
puu	puud
olema	onn
kõrv	`kõrvade
otsas	otsas
seal	sial
jah	jaahh
jah	jahh
need	nied
olema	on
üleval	üleval
see	sie
alt	alt
jooksma	juoksevad
need	neid
olema	on
kahte+muodi	`kahte+`muod'i
nüüd	nüid
see	sie
mõni	mõned
olema	onn
nüüd	nüid
olema	onn
suur	suuremalt
jagu	jaolt
ikke	ikke
ees	ies
pikk	pikkad
kõrv	kõrvad
ja	ja
taga	taga
olema	onn
olema	ol'id
enne	`enne
pikk	pikkad
aga	aga
nüüd	nüid
olema	ol'id
ees	ies
lühikene	lühikkest
see	sie
olema	on
ikke	ikke
vana+aegne	vana+`aegne
mood	muod'
veel	viel
lühikene	lühikkese
kõrv	`kõrvadega
olema	ol'id
jah	jahh
ja	ja
seal	sial
peal	pial
seisma	seesavad
olema	onn
see	sie
niis	niitte
olema	onn
nii+sugune	nesukkene
mina	ma
ei	i
teadma+ki	`tiagi
kuidas	kuda
tema	ta
nimi	nimi
olema	onn
kus	kuss
nemad	nad
seisma	seesavad
veel	viel
olema	ole
ka	koa
vanuigi	vanuna
juba	juo
meel	mielest
ära	ää
minema	läind
tihv	tihvad
ja	ja
eks	eks
need	neid
olema	ole
palju	paelu
need	neid
nimetus	nimettuisi
jah	jahh
tihv	tihvad
olema	on
ju	jo
kangas	`kanga
sees	sies
jooksma	jooksevad
kogu	kogu
kangas	`kanga
aga	aa
nii+kaua	nii+gauwa
kui	kui
kangas	kannas
otsas	otsas
need	nied
olema	on
pealne	`pialtsed
pealis+puu	pialis+puud
ütlema	`üittasse
kus	kuss
olema	on
piird	piird
vahel	vahel
jah	jaahh
enamasti	enamiste
puu+piird	puu+biirad
ikke	`ikke
olema	ol'id
aga	aga
eks	eks
nüüd	nüid
ikke	`ikke
olema	old
ju	jo
vask+piird	vas'k+piird
jah	jahh
noo	noo
enne	`enne
olema	ol'i
kohe	koe
nii+sugune	nesukke
tegija	tegija
kes	kess
siin	siin
olema	ol'i
Piisupi	Piisuppil
üks	üks
tumm	tumm
Tahti	Tahti
hüüdma	`üit'ti
see	sie
tegema	tegi
ja	ja
parandama	parandas
ja	ja
lautima	`laut'tis
teine	teisi
aga	aga
no	no
eks	eks
need	need
ostma	ostettud
piird	piirad
laat	laadalt
olema	ol'id
enne	`enne
piira+kaupmees	piira+kaupmed
kohe	kohe
jah	jahh
jah	jahh
mina	mina
ei	i
teadma	tia
kuusmann	`kuusman'nist
vist	vist
olema	ol'id
need	nied
ütlema	`üeoldi
et	et
kuusmann	`kuusman'ni
piird	piirad
et	et
need	nied
olema	on
hea	iad
piird	piirad
see	sie
kasvama	kasvab
mets	metsas
eks	eks
teie	teije
olema	ole
see	seda
nägema	näind
ega	ega
seal	sial
mari	`mar'ju
ei	ei
kasvama	kasva
keegi	kedagi
jah	jahh
ei	ei
õitsema	`õitse
jah	jaahh
kõik	kõik
olema	ol'id
ja	ja
puu+piird	puu+biird
olema	ol'i
raasi+kene	ruas'ikkese
hea	paremb
kui	kui
see	sie
vask+piird	vas'k+piird
raibe	raebe
olema+ki	ol'igi
ilus	ilusa
kangas	`kanga
tegema	tegivad
mina	mull
jääma	jäävad
kõik	kõik
nüüd	nüid
järele	järele
ei	ei
enam	enamb
keegi	`kiegi
tahtma	taha
minia	min'ija
enam	enamb
ei	ei
liigutama	liigutta
jaa	jaa
eks	eks
nägema	näind
inimene	in'imesed
ikke	ikke
vaev	`vaeva
need	nende
kangas	kannastega
aga	aga
nüüd	nüid
tulema	tuleb
kergelt	`kergelt
särk	särgid
selg	`sel'ga
ja	ja
püksid	püksid
jalg	`jalga
kangas	kanna
kangas	`kanga
kõrv	kõrvad
jaa	jaa
need	ned
olema	on
jah	jahh
kõrv	kõrvad
need	nied
mis	miss
püsti	`püs'ti
panema	`pannasse
ja	ja
all	all
olema	ol'i
siis	siss
üks	üks
pink	pink
kus	kuss
suks	suksed
sees	sies
käima	käesivad
ja	ja
teine	teene
olema	ol'i
see	se
lõnga+pakk	lõ~nna+bakk
või	või
riide+pakk	`riide+bakk
kus	kuss
riie	riije
peale	`piale
jooksma	`jooksis
ja	ja
taga	taga
olema	ol'i
lõnga+pakk	lõ~nna+bakk
kuhu	kuhu
saama	said
panema	`panna
estist	`es'tist
asutis	asut'tised
sinna	`sinna
soon	`suonde
siis	siss
siis	siss
saama	said
pulk	pulgad
peale	`piale
et	et
tema	ta
jääma	jäi
pidama	pidama
kõik	kõik
noh	noohh
seal	sial
olema	ol'i
jälle	jälle
all	all
nii+sugune	nesukkene
pulk	pulgad
olema	ol'id
noh	noh
sedasi	sedasi
kuidas	kudas
tahtma	`tahtsid
laskma	`lasta
mitu	`mitmest
pulk	pulga
vahelt	vahelt
kui	kui
ikke	ikke
vähe	vähem
laskma	las'id
siis	s
olema	ol'i
hea	paremb
aga	aga
kui	kui
väga	väga
palju	pal'lu
laskma	las'id
siis	sis
see	se
olema	ol'i
nii+sugune	nesukked
pulk	pulgad
olema	ol'id
pakk	`pakkude
sees	sies
siis	siss
seal	sial
olema	ol'i
nüüd	nüid
üks	üks
raud+hammas	raud+ammas
siis	siss
iga	igas
hammas	`ambas
olema	ol'i
see	sie
peatamine	`piettamine
kui	kui
sina	sa
tema	teda
tahtma	`tahtsid
pingutama	pinguttada
jah	jahh
riide+pakk	`riide+pakk
jah	jahh
riide+pakk	`riide+pakkust
hüüdma	`üit'ti
see	sell
olema	ol'id
estist	`es'tist
ju	juo
see	sie
nii+sugune	nesukkesed
niis	niijed
või	või
nöör	nüeorid
sees	sies
mis	miss
saama	said
algama	alatta
kohe	kohe
kui	kui
siis	ss
kangas	`kanga
sõlmima	`sõl'misid
ära	ää
ja	ja
siis	siss
mitu	mittu
tükk	`tükki
saama	sai
sinna	sinna
üks	ühe
pulk	pulga
vahele	vahele
panema	panna
ja	ja
siis	siis
sealt	sialt
saama	sai
jälle	jälle
panema	`panna
nöör	`nüeori
nii+kaua	nii+gauwa
kui	kui
olema	ol'i
tema	ta
kõik	kõik
kord	korras
eks	eks
tema	taga
sättimine	`sät'timist
ikke	`ikke
olema	ole
ja	ja
hea	ia
tundmine	`tunmine
olema	olgu
ikke	ikke
küll	küll
ega	ega
natuke	nattukke
nemad	nad
olema	on
need	nenne
kõrv	`kõrvade
otsas	otsas
nüüd	nüid
need	nied
pikk	pikkad
kõrv	kõrvad
olema	ol'id
seal	sial
seisma	seis'ivad
kõrv	`kõrvade
otsas	otsas
seal	sial
niie+puu	*niije+buud
niie+puu	niije+puud
hüüdma	`üit'ti
mis	miss
kus	kuss
olema	ol'id
siis	siss
olema	ol'id
seal	sial
keder	kedrad
ka	kua
veel	viel
seal	sial
sees	sies
ja	ja
siis	siss
keder	kedradest
sealt	sialt
nahk+rihm	nahk+rihmad
olema	ol'id
panema	`pan'di
sinna	sinna
niis	niitte
otsa	`otsa
ja	ja
siis	siss
sealt	sialt
kui	kui
suks	suksega
tallama	`tallasid
siis	siss
minema	läks
teine	teene
niis	niis
maha	maha
kui	kui
teisi+pidi	teisi+bidi
tallama	`tallasid
siis	siss
minema	läks
teine	teene
jälle	jälle
teine	teene
tõusma	`tõusis
üles	üles
