salv	`salves
teadma+ki	`tiantki
mis	miss
magamine	magamine
olema	õl'i
mõtlema	`mõtle
kell	kella
kolm	`kolmen
tema	tema
pime	pimedas
minema	läheb
juba	juba
pasun	pasunaga
ja	ja
nii+kaua	nii+gavva
ajama	`aet'ti
pasun	pasunat
teadma	tiad
kui	kui
tulema	tul'i
see	see
vana	vana
raud+tee	`raut+tee
miilits	miil'its
teie	teijele
elama	elama
siis	siis
olema	õl'i
vat	vat
mina	mina
tahtma	tahan
see	selle
ära	ära
hävitama	ävittatta
et	et
inimene	in'imesed
ei	ei
saama	saa
magama	magada
nemad	nemad
öösel	`öösi
ajama	aavad
pasun	pasunat
ja	ja
peale	`piale
see	selle
hakkama	`akkas
siis	siis
see	see
asi	asi
minema	minema
edasi	edasi
et	et
e	e
no	no
tema	täma
tulema	tul'i
siis	siis
juba	juba
kell	kella
kümme	`kümnest
kodu	kodu
selle+pärast	selle+bärast
et	et
no	no
karja+maa	karja+mal
tulema	tul'id
need	need
loom	*luomad
välja	`väl'ja
enam	enam
siis	siis
loom	loomad
siis	siis
minema	läind
tulema	tul'i
kell	kella
kümme	`kümnest
kodu	kodu
ja	ja
siis	sis
minema	läks
jälle	jälle
kell	kell
kolm	kolm
tagasi	tagasi
jah	jahh
nii+moodi	nii+mood'i
kari	karjad
no	no
karja+maa	karja+ma
olema	onn
seal	sial
meie	meil
siit	siit
ikka	ikke
jah	jahh
kust	kust
nemad	nemad
e	e
võõraste+maja	võõraste+maja
olema	onn
need	neil
seal	seal
seal	sial
olema	onn
üks	üks
karja+maa	karja+ma
jaa	jaa
aga	a
nüüd	nüid
olema	onn
nõnda+moodi	nõnna+moodu
et	et
e	e
ei	ei
saama	saa
kuskile	`kus'kile
e	e
e	e
ei	ei
lubama	lubattud
siit	siit
tee	tee
pealt	pealt
enam	enam
ajama	aada
kuskilt	kus'silt
ei	ei
lubama	lubatta
ajama	aada
ja	ja
mina	mina
elu+aeg	elu+aeg
hoidma	oit'sin
lehm	`lehma
ja	ja
minev	mineva
aasta	`aastast
saadik	saad'ik
olema	onn
enam	enam
ei	ei
saama	saa
lehm	`lehma
hoidma	oida
ei	eij
olema	ole
ei	ei
jõudma	jõuwa
käima	`käija
vana	vana
inimene	in'imene
ja	jaa
ja	jaa
keegi	`keegi
ei	ei
jõudma	jõuwa
käima	`käija
ja	ja
kõik	kõik
olema	on
maa	maad
üles	ülesse
võtma	`võettud
ja	ja
need	neit
heina+maa	`eina+mad
siia	`siija
siit	siit
ei	ei
saama	saa
õigesti	`õigest
käima	`käija
nüüd	nüid
ei	ei
saama	saa
kuskilt	`kus'kilt
minema	`minna
ja	ja
ei	ei
saama+ki	`saagi
lehm	`lehma
pidama	pidada
ei	ei
saama	ssaa
lehm	`lehma
pidama	pidada
olema	pole
kus	koss
söötma	süüt
poeg	pojal
olema	onn
lehm	lehm
siin	siin
tema	tema
olema	onn
siin	siin
teine	tõisel
pool	pool
tema	tema
hoidma	oijab
praegu	`präägu
olema	onn
lehm	lehm
kodus	kodu
katsuma	katsub
roht	`rohtu
ette	`ette
ja	ja
vahel	vahel
natuke	nattukkest
viima	viib
siin+samas	siin+sama
ümber	`ümber
uks	usse
ja	ja
jah	jah
ikka	ikke
niske	`niske
raske	`raske
karjus	kar'juss
kari	karja
kandma	kannab
vat	vat
seal	sial
ees	ees
seal	sial
olema	õl'i
hea	ea
sealt	sialt
käima	käib
kari	kari
seal	sial
minema	läheb
ikka	ikke
karjus	`kar'juss
karjus	`kar'juss
ikka	`ikke
minema	läheb
mööda	mööda
tee	teed
ja	ja
pasun	pasunat
küll	küll
ei	ei
ajama	`aetta
ei	ei
tohtima	tõhi
pasun	pasunat
ajama	aada
rikkuma	rikkub
inimene	in'imeste
tervis	`tervit
noh	nohh
ärkama	`ärkkavad
üles	ülesse
jaa	jaa
ikka	ikke
täitsa	täitsa
mees	mehed
ikka	ikke
vana+mees	vana+mehed
kohe	kõhe
käima	käisid
kari	karjas
kas	kas
see	se
noor	nuored
ega	ega
nüüd	nüid
käima	käivad
noor	nuored
aga	aga
siis	siis
olema	õl'id
vana+mees	vana+mehed
hoolikas	ool'ikkad
hirmus	`ermus
hoolikas	ool'ikkad
pime	piimedas
minema	läksivad
mõtlema	`mõtle
välja	`väl'ja
juba	juba
kari	karjaga
karjus	kar'jus
saama	sai
palk	`palkka
ikka	ikke
olema	põle
meel	`mieless
kuidas	kuda
need	ned
palk	palgad
olema	õl'id
nüüd	nüd
nüüd+ki	`nüidki
saama	saavad
e	e
sada	sada
rubla	rubla
lehm	lehma
pealt	pealt
nüüd	nüid
saama	saavad
kaks+sada	kaks+sada
nüüd	nüid
olema	onn
vähe	vähe
lehm	`lehmaid
muidu	mud'u
odav	odavamad
kas	kas
viis+kümmend	viis+kümend
rubla	rubla
või	vä
jaa	jaa
jah	jahh
e	e
jah	jah
kord	korras
käima	käis
kui	ku
kord	kord
olema	õl'i
läbi	läbi
siis	s
tulema	tul'i
sööma	`sööma
märss	`märs'sid
ühes	ühes
ja	ja
märss	`märs'si
panema	`pan'di
söök	söögid
ja	ja
pidama	pidid
alati	alat'ti
hea	ead
söök	söögid
olema	õlema
ja	ja
kui	kui
halb	alvad
olema	õl'id
siis	siss
hakkama	`akkasivad
teine	tõiste
inimene	in'imestele
rääkima	`rääkkima
et	et
vat	vat
sina	sa
andma	`an'tsid
nii	nii
ja	ja
nii	nii
aga	aga
olema	ole
hoolikas	ool'ikkad
mina	mina
olema	õl'in
hoolikas	ool'ikkas
mina	minu
e	e
mees	mehe
ema	ema
olema	õl'i
nisuke	nisukke
kitsi	kit'si
et	et
et	et
miks	miks
sina	saa
panema	paned
ka	koa
kraam	`kraami
mina	maa
ütlema	üt'sin
et	t
hea	paremm
rohkem	`rohkem
kui	kui
vähem	vähem
mina	mina
olema	õl'in
niske	`niske
hoolikas	ool'ikkas
mina	ma
tahtma	`tahtsin
ikka	ikke
et	et
nii	nii
karjus	`kar'juss
ikka	`ikke
täitsa	`täitsa
saama	saab
aga	a
mõni	mõned
olema	õl'id
nii	nii
rikas	`rikkad
inimene	in'imesed
ja	ja
olema	õl'id
nii	nii
kitsi	kit'sid
et	ett
et	ett
e	e
kui	kui
hakkama	`akkas
juba	juba
kord	`korda
tulema	tulema
siis	siis
ei	ei
ei	ei
panema+ki	`pannudki
lehm	`lehmasid
nii	nii
nemad	nad
olema	õl'id
nii	nii
rikas	`rikkad
nii	nii
tore	toredad
maja	majad
kui	kui
nüüd	nüid
kus	kus
see	see
e	e
ühisus	ühisus
olema	onn
seal	sial
seal	sial
see	selle
asemel	asemel
rikas	`rikkad
inimene	in'imesed
aga	aga
vot	vott
ei	ei
raatsima	`raatsind
karjus	kar'just
võtma	`võtta
vaene	`vaesed
ei	ei
ei	ei
kartma	kartn
nõnda	nõnna
aga	aga
need	ned
rikas	`rikkad
aga	aga
kõik	`kõikki
mis	miss
mis	miss
ikka	ikke
tulema	tuleb
sööma	`süija
andma	`anda
noh	nohh
või	võid
ja	ja
liha	liha
ja	ja
kala	kala
ehk	ehk
üks+kõik	üks+kõik
silk	`sil'kku
ja	ja
leib	`leiba
ja	ja
piim	`piima
plasku	plas'kud
olema	õl'id
ühes	ühes
ja	ja
piim	`piima
ka	kaa
ja	ja
e	e
see	see
noh	nohh
kui	kui
lehm	lehm
olema	onn
maja	majas
siis	siis
olema	onn
ju	ju
ka	kaa
sööma	`süija
ka	ka
kõik	`kõikki
ega	ega
siis	siis
puudus	`puudus
olema	põle
üle	üle
hoidma	`oit'sin
veel	vel
kaks	kaks
lehm	`lehma
enne	`ennemast
olema	õl'i
ja	ja
kui	kui
kodus	kodo
elama	elasime
siis	s
olema	õl'i
neli	nel'i
neli	nel'i
lehm	`lehmi
kui	ku
kodus	kodo
noor	nuored
olema	õl'ime
üksi	üksi
ei	ei
saama	saa
jah	jah
ei	ei
ega	ega
e	e
aa	aa
ei	ei
tema	täma
olema	õl'i
oma	omal
palkama	palgattud
oma	omal
palkama	palgattud
no	no
pere	perest
ei	eij
olema	õld
keegi	`keegid
käima	käünd
ajama	aasid
välja	`väl'ja
no	no
küll	küll
ajama	aasid
siis	sis
lehm	`lehmi
välja	`väl'ja
päriseppe	päriseppe
ja	ja
karista	karista
ise	ise
ka	koa
lehm	lehmad
tulema	tul'id
kodu	kodu
ise	ise
ja	ja
minema	lähevad
ise	ise
aga	aga
siis	siis
e	e
karjane	karjane
muud+kui	mud+ku
ajama	aab
tagant	tagast
ja	ja
nüüd	nüid
olema	onn
ikka	`ikke
raske	`raske
lehm	`lehma
kasvatama	kasvattatta
või	vai
hoidma	oida
meie	meil
siin	siin
pidama	piad
vastas	vastas
käima	`käima
ühte+lugu	`ühte+lugu
ja	ja
minema	lähvad
kuri	kurja
peale	`peale
veel	vell
ja	ja
e	e
nüüd	nüid
olema	onn
nii	nii
raske	`raske
et	ett
nüüd	nüid
olema	on
nemad	nad
siin	siin
kindlalt	kindlalt
enam	enam
et	eet
ei	ei
saama	saanud
enam	enam
ei	ei
saama	saand
pidama	pidada
kohe	kõhe
ah	ah
värske	`värske
värske	`värske
minema	läheb
vasikas	vasikkalle
meie	mee
ikka	`ikke
tegema	tegime
värske	`värskest
piim	piimast
toit	`toittu
küll	küll
vahel	vahel
mõni	mõned
tahtma	tahvad
küll	küll
hammustama	ammustavad
noh	nohh
panema	panevad
e	e
keema	`keema
kas	kas
riis	riisi
või	või
odra+tang	odra+`dangu
või	või
kuidas	kuda
keegi	kellelgil
olema	onn
panema	paneb
see	selle
piim	piima
ja	ja
piim	piim
siis	sis
minema	läheb
kokku	`kokku
nagu	nigu
muna+roog	muna+roog
niske	`nissed
suur	suured
tükk	tükkid
teadma	tiad
mina	ma
ütlema	ütlen
noor	nooremass
põlv	põlv
olema	õl'ime
tee	tee
sööma	`sõitte
aga	aga
nüüd	nüid
ei	ei
sööma	söö
nemad	nemad
keegi	`keegi
niske	`niske
asi	`as'ja
nüüd	nüid
enam	enam
ei	ei
tahtma+ki	tahagi
liiga	liiga
vägev	vägev
ja	ja
ennem	ennem
sööma	`süüd'i
kõik	kõik
asi	as'jad
ära	ära
mina	mull
olema	õl'i
e	e
mina	maa
mina	mull
olema	õl'i
oma	õmal
nii	nii
suur	suur
pere	pere
et	et
olema	õl'i
üheksa	üheksa
vahel	vahel
olema	õl'i
üheksa	üheksa
vaimune	vaimune
pere	pere
mina	minul
oma	omal
mees	mees
olema	õl'i
laps	`lapsi
olema	õl'i
kuus	kuus
tükk	`tükki
mees	mehe
ema	ema
olema	õl'i
mees	mehe
isa	isa
olema	õl'i
vat	vat
kus	kuss
pidama	pidi
ja	ja
mõtlema	`mõtlen
kõik	kõik
aeg	aeg
et	et
kuidas	kuda
siis	siis
mis	mis
asi	`as'ja
mina	mina
andma	`an'tsin
veel	vel
see	selle
pere	perele
ja	ja
kõik	kõik
saama	said
sööma	söönud
ja	ja
nüüd	nüid
ei	ei
tahtma	taha
ise	ise
keegi	kedagit
tegema	teha
ega	ega
ei	ei
olema+ki	õlegi
mitte	`mitte
vat	vatt
olema	õl'i
aeg	aeg
siis	siis
ja	ja
kõik	kõik
sööma	sõivad
ära	ära
panema	pan'id
laud	lauwa
peale	`piale
üks	üks
ei	eij
ütlema	öeld
et	et
mina	mina
ei	ei
sööma	söö
see	seda
ja	ja
nüüd	nüd
iga	igas
maja	majas
mina	minu
oma	oma
laps	lastel
ja	ja
laps	lastel
võib+olla	võib+õlla
olema	õn
e	e
poeg	poja
poeg	poja
laps	lastel
vot	vot
nemad	nemad
ei	ei
sööma	söö
ei	ei
tema	ta
see	seda
ei	ei
tahtma	taha
see	seda
vot	vot
üks	üks
tahtma	tahab
see	seda
söök	`söökki
teine	tõine
teine	teist
no	no
kas	kass
see	see
olema	onn
keegi	kellegi
kord	kord
aga	aga
kui	kui
meie	meije
mina	minu
laps	lapsed
olema	õl'id
see	seda
asi+ki	`as'jagi
olema	põllud
et	et
nemad	nämad
ei	ei
sööma	söö
see	seda
üks	üks
tema	taa
ei	ei
sööma	söö
see	seda
kõik	kõik
sööma	sõid
ära	ää
mina	ma
ei	i
teadma	tia
kas	kass
olema	õl'i
palju	pal'lu
laps	`lapsi
koos	koos
või	vä
üksi	üksi
et	et
ruttu	`ruttu
sööma	sõid
ja	ja
see	seda
ei	ei
tohtima	`tõhtind
keegi	`keegi
ütlema+ki	ütteldagi
et	et
kui	ku
ei	ei
tahtma	taha
siis	siis
olema	õle
ilma	`ilma
ega	ega
siis	siis
ei	ei
minema	`lähtud
pood	`poodi
kompvek	`kompvekke
tooma	`tooma
ega	ega
präänik	prään'ikkuid
ja	ja
sai	`saiju
nagu	nagu
nüüd	nüid
käima	käävad
argi+päev	argi+pääval
olema	õli
töö	töö
oma	oma
töö	töö
no	no
ikka	`ikke
töö	tööd
tegema	tegime
nii	nii
palju	pal'ju
olema	õlen
mina	mina
töö	tööd
tegema	teinud
ja	ja
vata	vatta
nii	nii
vana	vana
olema	õlen
veel	veel
olema	põle
kuskil	`kos'kil
käima	käänud
haige+maja	`aige+maeades
ei	ei
kuskil	`kos'kil
terve	terve
inimene	inimene
aga	aga
vaatama	vaatta
nüüd	nüd
need	ned
noor	noored
kõik	kõik
olema	on
haige	`aiged
kes	kess
vähe	vähe
tegema	tieväd
jaah	jaah
ja	ja
ema	ema
võtma	`võttis
tüdruk	tüd'rikku
tema	temäl
olema	õli
ju	ju
tervis	tervis
vaene	`vaene
eks	eks
tema	tal
olema	õlnud
väike	`veiksed
laps	lapsed
ja	ja
võtma	`võttis
tüdruk	tüd'rik
ja	ja
mina	mina
olema	õl'in
seitse	`seitsme
aastane	`aastane
ja	ja
see	selle
tüdruk	tüd'rikkuga
noh	noh
tüdruk	tüd'rik
teenija	`teenija
ikka	ikke
teenija	`teenija
aga	ga
pidama	pidin
mina	mina
ühes	ühes
minema	minema
sõnnik	sõn'nikkud
lahutama	lahuttama
ja	ja
tulema	tulevad
inimene	in'imesed
vastu	`vasta
ütlema	ütleb
et	et
mis	mis
see	si
laps	laps
sinna	`sinna
ühes	ühes
minema	lähäb
vot	vott
tema	temä
tulema	tuleb
sõnnik	sõn'nikkud
lahutama	lahuttama
võeh	võehh
see	sedä
vaja	vaea
veel	vel
tuba	tuas
häll	`äl'li
panema	`panna
ja	ja
tema	temä
tulema	tuleb
sõnnik	sõn'nikkud
vot	vott
kuidas	kuda
meie	meid
panema	`pan'tti
töö	`tööle
seitse	`seitsme
teadma	tian
et	et
seitse	`seitsme
aastane	`aastane
olema	õlin
ja	jaa
vot	vott
pidama	pid'in
igal+pool	igäl+bol
töö	tööl
olema	õlema
aga	a
vaatama	`vaatta
mis	mis
nüüd	nüid
need	nied
need	ned
ei	ei
teadma+ki	`tiagi
mis	mis
töö	tüü
olema	onn
mina	ma
nägema	näen
nägema	näe
oma	oma
oma	oma
laps	`lapsi
nägema	näd
see	se
olema	nn
tütar	`tütre
poeg	poeg
siin	siin
poeg	poea
tütar	tüttar
jah	jahh
tema	ta
ei	i
teadma+ki	`tiagi
veel	veel
mis	miss
töö	tüü
olema	onn
vot	vot
need	nid
pidu	pidud
see	si
olema	on
see	si
nemad	nende
töö	töö
ja	ja
kargamine	`kargamine
ja	ja
vot	vot
see	si
olema	on
nemad	nende
töö	töö
ja	ja
kõik	kõik
ja	ja
nüüd	nüid
kool	`kool'is
vaja	vaea
käima	`käija
panema	`pan'tti
siis	sis
meie	meid
sinna	`sinna
noh	nohh
köster	`köstri
kool	`gool'i
et	et
siis	sis
noh	nohh
ikka	ikke
nagu	nagu
tahtma	tahetti
hea	paremad
meie	meil
olema	õlid
seal	siäl
need	nied
sugulane	sugulased
niske	`niskesed
saksa	saksa
kadaka+saks	kadakka+saksad
noh	nohh
ikka	ikke
et	t
kool	`kool'i
ja	ja
ikka	ikke
et	t
panema	`panna
sinna	`sinna
Puki	Pukki
kool	`kool'i
kus	koss
saks+ki	saksatki
meie	meit
panema	`pan'tti
kool	`kool'i
kool	kool'
hakkama	akkas
ju	ju
augusti+kuu	augusti+kuus
peale	`piäle
aga	a
meie	meid
ei	ei
laskma	lasta
kool	`kool'i
enne	`enne
kui	kui
sügisel	sügise
kui	kui
kõik	kõik
töö	töö
tegema	tehtud
meie	meije
ei	ei
õppima	õppi
siis	siis
vähe	vähä
mis	mis
meie	me
saama	saime
et	t
seal	siäl
kool	kool'is
käima	käänud
kevadel	keväde
võtma	`võet'ti
aegsasti	`aeksast
ära	ää
kui	kui
töö	töö
hakkama	akkas
peale	`piäle
jälle	jälle
aga	a
kool	kool'
käima	käib
ikka	ikke
edasi	edasi
pool	poole
suvi	suveni
vat	vatt
nii+moodi	nii+mod'i
olema	õl'i
siis	sis
vana+aegne	vana+`aegne
asi	as'i
see	sest
kool	kool'ist
ei	ei
pidama	`peettud
keegi	kedägi
muu+kui	mut+ku
töö	töö
pidama	pidid
aga	aga
laps	lapsed
töö	tööl
käima	`käimä
ja	ja
ooh	oohh
mis	miss
kitkumine	`kitkumine
see	se
olema	õl'i
ju	ju
väike	`veikke
asi	as'i
seal	seäl
olema	õli
ju	ju
kõik+sugune	kõik+sugused
töö	tööd
tegema	`tehti
rehi	rehed
peksma	`peksin
oi	ooi
iga	iga
päev	päev
rehi	rehed
iga	iga
päev	päev
rehi	rehed
mh	mh
sügis	sügisel
ikka	`ikke
kaks	kaks
rehi	`rehte
korraga	korraga
üle+päeviti	üle+päevitte
täna	täna
siin	sin
rehi	rehes
homme	`ommen
seal	seal
rehi	rehes
nii	nii
kaua	kauwa
kui	kui
jääma	jäin
üks+kord	üks+kord
haige	`aigest
koju	koju
igavene	igavene
mis	miss
see	sedä
asi	`as'ja
enam	enam
maksma	maksa
rääkima+ki	`rääkkidagi
saama	saaks
lahti	`lahti
tütar	tüttärdest
kolm	kolm
tütar	tüttart
olema	õl'i
olema	polnud
veel	veel
kaks+kümmend	kahe+`gümne
ei	eij
olema	olnud
veel	veel
kevadel	kevade
saama	sain
sügisel	sügise
minema	läksin
mees	mehele
ja	ja
kevadel	kevade
saama	sain
kaks+kümmend	kahe+`gümne
no	no
ikka	`ikke
kõik	kõik
mh	mh
mina	mulle
ei	i
andma	`anttud
kõik	kõik
andma	`an'tti
lehm	lehem
ja	ja
lammas	`lambas
ja	ja
ja	jaa
lina	linad
ja	ja
lina	linad
pleegitama	pleegittet
ja	jaa
no	no
ikka	`ikke
kõik	kõik
praegu	präegu
olema	on
siin	siin
ait	`aedas
ei	ei
mina	mina
teadma	tian
kui	kui
täis	täis
tema	ta
olema	õl'i
olema	pole
meel	meeles
meie	meil
olema	õl'i
see	sie
vahe	vahe
olema	õl'i
teine	tõise
õde	`õega
olema	õl'i
vahe	vahe
pool+teist	puul+dõist
aasta	`aastad
mina	mina
minema	läksin
sügisel	sügise
tema	temä
minema	läks
peale	piäle
jaani+päev	jaan'i+bävä
tema	temä
ei	i
olema	õllud
üheksa+teist	üheksa+`deistki
täis	täis
vot	vott
minema	läksime
mees	mehele
no	no
kõik	kõik
pidama	pidi
saama	`saama
tegema	`tehtud
heheh	heheh
tulema	tul'i
maa	maalt
niske	`niskene
suur	suur
talu+poeg	talu+boja
mees	mees
ja	ja
tahtma	tahetti
ju	ju
enne	ennem
see	seda
au	au
kõik	kõik
ikka	`ikke
uhke	`uhked
vedru+vanker	vedru+`vankrid
ja	ja
hobune	obused
ja	ja
tema	temäl
olema	õl'i
nisuke	nesukkene
tahtmine	`tahtmine
mina	mina
ei	i
minema+ki	lähägi
mees	mehele
kui	kui
olema	põle
uhke	`uhke
hobune	obune
ja	ja
vedru+vanker	vedru+vanger
ja	ja
ja	ja
kõik	kõik
niske	`neskene
ja	ja
minema+ki	`läkski
siis	sis
seda+moodi	seda+moodu
ja	jaa
ah	ahh
hõhõ	hõhõ
noh	nohh
ah	ah
ei	ei
ei	eij
olema	olnud
selle+pärast	selle+päräst
et	et
e	e
mina	minu
mees	mehe
ema	emä
olema	õl'i
sealt	säält
maja	maeast
tooma	toodud
kust	kost
mina	mina
nii	nii
et	et
mina	mina
olema	õl'in
oma	oma
mees	mehe
ema	emäle
onu+poeg	onu+boja
tütar	tüttar
jah	jahh
ja	ja
tema	temäl
nemad	neil
olema	õl'i
noh	nuhh
kolm	kolme
korteriline	`kortteriline
maja	maea
kolm	kolm
maja	maea
ja	ja
mina	`mulle
ütlema	`üel'di
küll	küll
vana	vana
poiss	pois'
olema	õl'i
ka	kaa
kaks+kümmend	kahe+gümne
kolm+kümmend	kolme+gümne
seitse	`seitsme
aastane	`aastane
olema	õl'i
ja	jaa
et	et
sina	sa
vana	vana
mees	mehele
minema	lähäd
mina	ma
ütlema	tlen
mis	mis
mina	mul
viga	viga
kolm	kolm
maja	maea
ja	ja
sepp	seppa
paja	paea
mis	mis
mina	mull
viga	viga
mina	mina
see	seda
raske	`rasked
töö	tööd
ei	ei
tahtma	taha
tegema	teha
nõnda	nõnna
meie	meil
olema	õl'i
nagu	nagu
alati	alat'ti
see	se
raske	`raske
töö	töö
et	et
mina	maa
saama	soan
natuke	nattutke
hea	parema
koht	koha
ja	ja
seda+moodi	seda+moodu
saama+ki	`saigi
nõh	nõh
ega	ega
meie	meil
nii	nii
palju	pal'ju
töö	tööd
siin	siin
ei	eij
olema	õld
nii	nii
palju	pal'ju
töö	tööd
mees	mehed
isa	isa
mees	mees
olema	õl'i
sepp	sepp
ja	ja
mees	mehe
isa	isa
olema	õl'i
sepp	sepp
ja	ja
aga	a
kuidas+moodi	kuda+moodu
kui	ku
mina	mina
ei	i
saama	saa
kuidas	kuda
mina	mena
ei	i
teadma	tea
kuidagi	kudagi
olema	on
need	neid
et	et
sina	sa
teadma	tead
no	no
ikka	`ikke
jaa	jaa
posti+hobune	pos'ti+obustega
posti+hobune	pos'ti+obused
tõld	tõllaga
kutsar	`kutsar
ees	ees
no	no
ikka	`ikke
no	no
jah	jah
no	no
need	need
ikka	ikke
kõik	kõik
jah	jahh
meie	meil
olema	õl'id
suur	suured
ruum	ruumid
isa	isa
seal	seal
olema	õl'id
kus	kuss
meie	me
ikka	ikke
elama	eläsime
mängima	mängitti
ja	ja
andma	`an'tti
siis	sis
kes	kellele
sina	sa
tahtma	`tahtsid
ja	ja
viskama	`viskasid
pähe	pähä
siis	sis
see	see
saama	sai
jälle	jälle
oma	omale
siis	siss
peig+mees	peig+mehele
jälle	*jälle
ja	ja
see	se
tooma	toodi
viin	viinad
ja	ja
õlu	õlled
ja	ja
mina	mina
ei	i
teadma	tea
mis	mis
kõik	`kõikke
ühes	ühes
ja	ja
pidama	`peetti
nii+sama	nii+sama
kui	ku
nüüd	nüd
pulmad+ki	pulmadki
olema	õleks
olema	õl(n)d
aga	aga
meie	meije
meie	meil
ei	eij
olema	õld
kosjad	`kos'jasid
mina	ma
ei	i
mõistma	mõist
niske	niskesi
asi	`as'ja
meie	meije
ei	i
tegema	tehnud
mina	maa
ei	ei
tahtma	tahnud
kuulutama+ki	kuuluttattagi
et	ett
mina	maa
olema	õlen
salaja	sala
nii	nii
hein	eina
ajal	aal
mina	ma
saama	sain
tuttav	`tutvast
ja	ja
sügisel	sügise
olema	õl'id
pulmad	pulmad
mina	mina
ei	ei
tahtma	tahnud
see	sedä
kuulutama+ki	kuuluttattagi
välja	väl'ja
teine	`tõisi
kavaler	kavaleerisid
olema	õl'i
ka	kaa
ja	ja
ei	ei
tahtma	tahnud
siis	siis
see	seda
asi	`as'ja
kuulutama	kuuluttatta
vot	vott
salaja	sala
hoidma	`oitsin
kõik	kõik
käima	käisin
käima	käisin
juba	juba
hakkama	akkasin
kangas	`kangid
kuduma	kuduma
ja	ja
tegema	tegema
oma	omale
asi	`as'ju
ja	ja
inimene	in'imesed
juba	juba
hakkama	akkasid
aru	aru
saama	saama
et	et
mis	miss
asi	as'i
see	se
olema	onn
ja	ja
ei	ei
laskma	lasnud
see	seda
kavaler	kavaleri
ka	koa
kodu	kodu
tulema	`tulla
sinna	`sinna
see	se
ikka	`ikke
käima	käis
salaja	salaja
pärast	päräst
ikka	ikke
saama	*soad'i
teadma	`tiada
tahtma	tahet'ti
ka	ka
vatt	`vat'ti
andma	`anda
veel	veel
peksma	`peksa
valvama	valvat'ti
nii	niij
et	et
no	no
ikka	`ikke
no	noo
ikka	`ikke
meie	mee
olema	l'ime
töö+inimene	töö+inimesed
meie	mee
olema	l'ime
kuulus	`kuulsad
Toomara	Toomara
tüdruk	tüd'rikkud
Toomara	Toomara
maja	maea
olema	õl'i
Toomara	Toomara
maa	mad
meie	mee
olema	l'ime
nii	nii
kuulus	`kuulsad
et	et
meie	mee
olema	l'ime
nii	nii
töö+inimene	töö+in'imesed
jaah	jaahh
ega	ega
meie	meid
laskma	lastud
logama	logada
meie	meil
vanemad	vanemad
olema	õl'id
niske	`niskesed
vali	val'jud
need	need
ajama	aeas'id
töö	`tööle
ühte+lugu	`ühte+lugu
meie	meije
ei	ei
saama	soand
iva	iva
hingama	ingatta
meie	me
ei	i
tohtima	`tõhtind
püha+päev	pühä+ppääväl
kuhugi	kuhugi
minema	`minna
pidama	pid'id
kodus	kodu
olema	õlema
ja	ja
kas	kass
lugema	lugesid
või	vaeh
tegema	tegid
oma	oma
näpu+töö	näppu+tööd
ja	ja
vot	vott
kuidas	kuda
meie	meid
kasvatama	kasvattat'ti
mh	mh
noh	nohh
kiik	kiiged
meie	meil
olema	õl'id
nöör	`nüöridest
lagi	laes
ja	ja
nöör	*nüörid
lagi	laes
ja	jaa
laud	lavvad
peal	pial
ja	ja
need	ned
olema	õl'id
meie	meil
kiik	`kiiged
ega	ega
meie	meil
muu	muud
suur	suurt
kiik	`kiikke
ei	eij
olema	õllud
maa	maal
olema	õl'id
niske	nest
suur	suured
võlla+kiik	`võlla+kiiged
aga	aga
meie	meije
nöör	nüörid
lagi	`lakke
ja	ja
laud	lavvad
peale	`piale
ja	ja
seal	sääl
kiikuma	`kiikkesime
ei	ei
tuba	tuas
nüüd	nüid
ikka	ikke
õu	õvves
hoov	oovis
ja	ja
hoov	oovi
ruum	ruumides
ikka	ikke
no	noo
e	e
no	no
ikka	`ikke
noor	nuored
koos	koos
kui	ku
kodu	kodust
vanemad	vanemad
minema	läksid
ära	ära
siis	siis
tulema	tul'i
tuba	tuba
täis	täis
siis	siis
mängima	`män'gisime
kõik+sugu	`kõik+sugu
mäng	`mängusid
ega	ega
siin	siin
muu	muud
ei	ei
tegema	tehtud
ring+mäng	ringi+`mängud
ja	ja
number	`numbrid
ja	ja
pant	`pan'ttisid
lunastama	lunastasime
ja	ja
jaah	jaahh
kas	kas
teie	teije
nüüd	nüd
niske	`niskest
asi	`as'ja
ei	ei
teadma+ki	`tiagi
või	vae
kõik	kõik
niske	`nisksed
asi	as'jad
olema	õlid
kõik	kõik
mina	mina
tampima	tambin
pipar	pippart
homme	ommen
tulema	tulevad
võõras	`võerad
üle+homme	üle+omme
suur	suured
saks	saksad
siis	siss
olema	õl'i
panema	pan'di
lunastamine	lunastamine
sina	sa
teadma	tiad
heh	heh
heh	heh
heh	heh
aga	a
see	si
olema	õl'i
see	sii
olema	õl'i
number	`number
number	`numbrid
mängima	mängit'ti
ja	ja
siis	siss
siis	sis
kui	ku
kukkuma	`kukkusid
sisse	`sisse
siis	sis
pidama	pid'id
panema	`pan'tti
andma	`anma
jah	jahh
ja	ja
siis	siis
pidama	pid'id
pant	`pan'tti
pärast	päräst
välja	`väl'ja
lunastama	lunastama
mis	mess
keegi	kellegile
panema	`pan'tti
nimi	nimi
nüüd	nüid
mõni	mõn'i
tampima	tambib
pipar	pippart
ja	ja
mõni	mõni
mina	mull
enam	enam
ka	koa
jääma	jääb
meel	meelest
ära	ärä
mis	mes
meie	me
tegema	tegime
see	se
olema	l'i
imelik	imelik
asi	as'i
nagu	nagu
mina	maa
